new_rank,name,rating,price_blended,speed,norm_rating,norm_speed,final_score
1,GPT-5.6 Sol,48.91,10.0,10.0,1.0,0.0374331550802139,0.9037433155080214
2,Claude Fable 5,47.23,18.0,12.0,0.9194630872483222,0.0481283422459893,0.8323296127480888
3,Claude Mythos Preview,45.34,,3.0,0.8288590604026849,0.0,0.7459731543624164
4,GPT-5.6 Terra,44.64,4.0,41.0,0.7953020134228189,0.20320855614973263,0.7360926676955104
5,Kimi K3,45.03,5.4,6.0,0.8139980824544585,0.016042780748663103,0.734202552283879
6,GLM-5.3,44.46,2.0,4.0,0.7866730584851391,0.0053475935828877,0.708540511994914
7,DeepSeek-V4-Pro-0813,42.95,0.522,11.0,0.7142857142857145,0.0427807486631016,0.6471352177234533
8,Claude Opus 4.8,42.33,9.0,3.0,0.6845637583892618,0.0,0.6161073825503356
9,Claude Opus 5,41.3,9.0,6.0,0.6351869606903163,0.016042780748663103,0.573272542696151
10,Hy4 preview,40.85,,3.0,0.6136145733461171,0.0,0.5522531160115054
11,Qwen3.8 Max,40.67,1.46,10.0,0.6049856184084373,0.0374331550802139,0.5482303720756151
12,GPT-5.5,39.52,10.0,33.0,0.5498561840843722,0.16042780748663102,0.5109133464245981
13,Grok 4.6,38.5,2.8,12.0,0.5009587727708533,0.0481283422459893,0.45567572971836695
14,GPT-5.6 Luna,38.15,0.4,17.0,0.4841802492809204,0.0748663101604278,0.44324885536887115
15,Claude Sonnet 5,37.94,3.6,21.0,0.47411313518696063,0.0962566844919786,0.43632749011746247
16,Claude Opus 4.7,37.29,9.0,60.0,0.4429530201342282,0.3048128342245989,0.4291390015432653
17,Grok 4.5,36.56,2.8,80.0,0.4079578139980826,0.4117647058823529,0.40833850318650966
18,Gemini 3.7 Flash,37.22,1.35,5.0,0.4395973154362416,0.0106951871657754,0.396707102609195
19,Qwen3.8-Flash-Next,36.64,,3.0,0.41179290508149574,0.0,0.3706136145733462
20,DeepSeek-V4-Flash-Vision-Exp,36.6,0.308,3.0,0.4098753595397892,0.0,0.3688878235858103
21,Qwen3.8 Flash,36.59,0.2139999999999999,3.0,0.4093959731543626,0.0,0.3684563758389264
22,Qwen3.7 Max,36.45,1.1800000000000002,7.0,0.40268456375838946,0.0213903743315508,0.3645551448157056
23,GLM-5.2,36.25,1.36,16.0,0.39309683604985624,0.06951871657754011,0.36073902410262465
24,Kimi K2.6,33.82,1.3,190.0,0.2766059443911793,1.0,0.3489453499520614
25,GLM-5.3-Flash,36.05,0.22,3.0,0.383509108341323,0.0,0.34515819750719073
26,Muse Spark 1.1,35.45,1.85,32.0,0.35474592521572407,0.15508021390374332,0.33477935408452597
27,DeepSeek-V4-Flash-0731,34.35,0.108,20.0,0.30201342281879207,0.09090909090909091,0.28090298962782195
28,Seed 2.1 Pro,34.47,,3.0,0.3077660594439118,0.0,0.2769894534995206
29,Hy3,33.38,,3.0,0.25551294343240666,0.0,0.229961649089166
30,Claude Opus 4.6,33.28,9.0,5.0,0.25071907957814005,0.0106951871657754,0.2267166903369036
31,Gemini 3.5 Flash Cyber,33.27,,3.0,0.2502396931927135,0.0,0.22521572387344216
32,MiniMax M3,33.03,0.42,16.0,0.2387344199424737,0.06951871657754011,0.22181284960598036
33,GPT-5.4,31.82,2.18,59.0,0.18072866730584852,0.2994652406417112,0.1926023246394348
34,Qwen3.8-27B,32.41,,3.0,0.20901246404602095,0.0,0.18811121764141886
35,DeepSeek-V4-Pro-Max,32.41,,3.0,0.20901246404602095,0.0,0.18811121764141886
36,Muse Spark 1.2,31.73,0.12,27.0,0.17641418983700866,0.12834224598930483,0.1716069954522383
37,Gemini 3.5 Flash,31.9,3.0,3.0,0.18456375838926167,0.0,0.1661073825503355
38,Seed 2.1 Turbo,31.65,,3.0,0.17257909875359534,0.0,0.15532118887823582
39,Inkling-Small,29.75,0.48,148.0,0.08149568552253114,0.7754010695187166,0.15088622392214968
40,Gemini 3.1 Pro,31.48,5.0,3.0,0.1644295302013423,0.0,0.14798657718120806
41,GLM-5.1,31.1,2.0,19.0,0.1462128475551295,0.0855614973262032,0.14014771253223687
42,Kimi K2.7 Code,31.07,,3.0,0.1447746883988495,0.0,0.13029721955896456
43,MiMo-V2.5-Pro,31.06,0.522,3.0,0.14429530201342275,0.0,0.12986577181208048
44,Qwen3.7-Plus,30.99,,3.0,0.14093959731543615,0.0,0.12684563758389253
45,Laguna S 2.1,30.9,0.12,3.0,0.13662511984659628,0.0,0.12296260786193666
46,GPT-5.3 Codex,30.07,4.2,3.0,0.09683604985618409,0.0,0.08715244487056568
47,Gemini 3.6 Flash,29.92,2.7,3.0,0.08964525407478434,0.0,0.08068072866730591
48,DeepSeek-V4-Flash-Max,28.92,0.168,3.0,0.04170661553211894,0.0,0.03753595397890705
49,Claude Opus 4.5,28.59,,3.0,0.025886864813039274,0.0,0.023298178331735347
50,Qwen3.6 Plus,28.05,0.5599999999999999,3.0,0.0,0.0,0.0
